time,magnetizing current,I1 A,I2 A,Q1,Q2,Q3,Q4
8.45e-06,-2.374259978776572,-2.374259978776572,155.5132752027845,1,0,1,0
8.475000000000001e-06,-2.374259978776572,-2.374259978776572,154.91581666675526,1,0,1,0
8.5e-06,-2.374259978776572,-2.374259978776572,154.3231436621876,1,0,1,0
8.525e-06,-2.374259978776572,-2.374259978776572,153.73579641886593,1,0,1,0
8.550000000000001e-06,-2.374259978776572,-2.374259978776572,153.15363348463396,1,0,1,0
8.575e-06,-2.374259978776572,-2.374259978776572,152.57651957065542,1,0,1,0
8.6e-06,-2.374259978776572,-2.374259978776572,152.00432518144117,1,0,1,0
8.625000000000001e-06,-2.374259978776572,-2.374259978776572,151.43692627297494,1,0,1,0
8.65e-06,-2.374259978776572,-2.374259978776572,150.87420393637075,1,0,1,0
8.675e-06,-2.374259978776572,-2.374259978776572,150.3160441047681,1,0,1,0
8.700000000000001e-06,-2.374259978776572,-2.374259978776572,149.76233728141054,1,0,1,0
8.725e-06,-2.374259978776572,-2.374259978776572,149.2115870376946,1,0,1,0
8.750000000000001e-06,-2.374259978776572,-2.374259978776572,148.66191490308316,1,0,1,0
8.775000000000002e-06,-2.374259978776572,-2.374259978776572,148.11331456688103,1,0,1,0
8.8e-06,-2.374259978776572,-2.374259978776572,147.56577977974354,1,0,1,0
8.825000000000001e-06,-2.374259978776572,-2.374259978776572,147.01930435284442,1,0,1,0
8.85e-06,-2.374259978776572,-2.374259978776572,146.47388215705828,1,0,1,0
8.875e-06,-2.374259978776572,-2.374259978776572,145.92950712215725,1,0,1,0
8.900000000000001e-06,-2.374259978776572,-2.374259978776572,145.3861732360214,1,0,1,0
8.925e-06,-2.374259978776572,-2.374259978776572,144.84387454386277,1,0,1,0
8.95e-06,-2.374259978776572,-2.374259978776572,144.3028557774835,1,0,1,0
8.975000000000001e-06,-2.374259978776572,-2.374259978776572,143.76372248722475,1,0,1,0
9e-06,-2.374259978776572,-2.374259978776572,143.2264550740307,1,0,1,0
9.025e-06,-2.374259978776572,-2.374259978776572,142.69103427628585,1,0,1,0
9.050000000000001e-06,-2.374259978776572,-2.374259978776572,142.15744116173312,1,0,1,0
9.075e-06,-2.374259978776572,-2.374259978776572,141.62565711963902,1,0,1,0
9.100000000000001e-06,-2.374259978776572,-2.374259978776572,141.0956638531972,1,0,1,0
9.125000000000002e-06,-2.374259978776572,-2.374259978776572,140.56744337216102,1,0,1,0
9.15e-06,-2.374259978776572,-2.374259978776572,140.04097798569722,1,0,1,0
9.175000000000001e-06,-2.374259978776572,-2.374259978776572,139.5162502954523,1,0,1,0
9.2e-06,-2.374259978776572,-2.374259978776572,138.99916506398262,1,0,1,0
9.225e-06,-2.374259978776572,-2.374259978776572,138.48987084244277,1,0,1,0
9.250000000000001e-06,-2.374259978776572,-2.374259978776572,137.98802410092952,1,0,1,0
9.275e-06,-2.374259978776572,-2.374259978776572,137.49330590356826,1,0,1,0
9.3e-06,-2.374259978776572,-2.374259978776572,137.0054195074153,1,0,1,0
9.325000000000001e-06,-2.374259978776572,-2.374259978776572,136.5240882550073,1,0,1,0
9.35e-06,-2.374259978776572,-2.374259978776572,136.0490537177763,1,0,1,0
